ID,carrier,week_number,total_flight,nodelay,quality_percent
0,AA,1,299,132,0.441471572
1,AA,2,241,139,0.576763485
2,AA,3,241,147,0.609958506
3,AA,4,240,147,0.6125
4,AA,5,240,134,0.558333333
5,AA,6,241,148,0.614107884
6,AA,7,237,105,0.443037975
7,AA,8,241,88,0.365145228
8,AA,9,241,142,0.589211618
9,AA,10,232,132,0.568965517
10,AA,11,234,140,0.598290598
11,AA,12,234,126,0.538461538
12,AA,13,235,123,0.523404255
13,AA,14,235,115,0.489361702
14,AA,15,238,133,0.558823529
15,AA,16,239,150,0.627615063
16,AA,17,239,139,0.581589958
17,AA,18,237,122,0.514767932
18,AA,19,237,150,0.632911392
19,AA,20,237,128,0.540084388
20,AA,21,231,138,0.597402597
21,AA,22,236,133,0.563559322
22,AA,23,229,132,0.576419214
23,AA,24,228,107,0.469298246
24,AA,25,229,108,0.471615721
25,AA,26,229,102,0.445414847
26,AA,27,231,115,0.497835498
27,AA,28,238,112,0.470588235
28,AA,29,238,111,0.466386555
29,AA,30,238,88,0.369747899
30,AA,31,238,73,0.306722689
31,AA,32,238,99,0.415966387
32,AA,33,238,106,0.445378151
33,AA,34,238,137,0.575630252
34,AA,35,235,145,0.617021277
35,AA,36,223,122,0.547085202
36,AA,37,217,119,0.548387097
37,AA,38,217,149,0.686635945
38,AA,39,217,124,0.571428571
39,AA,40,217,131,0.603686636
40,AA,41,217,143,0.658986175
41,AA,42,217,139,0.640552995
42,AA,43,217,110,0.506912442
43,AA,44,214,106,0.495327103
44,AA,45,203,120,0.591133005
45,AA,46,203,106,0.522167488
46,AA,47,206,120,0.582524272
47,AA,48,201,126,0.626865672
48,AA,49,209,134,0.641148325
49,AA,50,209,117,0.559808612
50,AA,51,214,55,0.257009346
51,AA,52,213,80,0.375586854
52,B6,1,1443,626,0.433818434
53,B6,2,1013,699,0.690029615
54,B6,3,979,679,0.693564862
55,B6,4,979,633,0.646578141
56,B6,5,978,664,0.678936605
57,B6,6,981,662,0.674821611
58,B6,7,1056,553,0.523674242
59,B6,8,1117,541,0.484333035
60,B6,9,1111,698,0.628262826
61,B6,10,1111,598,0.538253825
62,B6,11,1112,703,0.632194245
63,B6,12,1120,616,0.55
64,B6,13,1112,788,0.708633094
65,B6,14,1086,567,0.522099448
66,B6,15,1084,637,0.587638376
67,B6,16,1089,754,0.692378329
68,B6,17,1120,845,0.754464286
69,B6,18,1041,711,0.682997118
70,B6,19,988,816,0.825910931
71,B6,20,983,722,0.734486267
72,B6,21,1002,739,0.73752495
73,B6,22,1028,791,0.769455253
74,B6,23,1020,710,0.696078431
75,B6,24,1023,641,0.626588465
76,B6,25,1040,667,0.641346154
77,B6,26,1059,555,0.52407932
78,B6,27,1055,681,0.64549763
79,B6,28,1069,648,0.606173994
80,B6,29,1087,604,0.555657774
81,B6,30,1083,368,0.339796861
82,B6,31,1089,447,0.41046832
83,B6,32,1089,504,0.462809917
84,B6,33,1089,331,0.303948577
85,B6,34,1084,671,0.61900369
86,B6,35,1084,650,0.599630996
87,B6,36,968,656,0.67768595
88,B6,37,890,638,0.716853933
89,B6,38,891,749,0.840628507
90,B6,39,889,591,0.664791901
91,B6,40,891,738,0.828282828
92,B6,41,895,728,0.813407821
93,B6,42,893,709,0.793952968
94,B6,43,876,608,0.694063927
95,B6,44,872,631,0.723623853
96,B6,45,876,600,0.684931507
97,B6,46,877,574,0.654503991
98,B6,47,952,684,0.718487395
99,B6,48,987,630,0.638297872
100,B6,49,912,555,0.608552632
101,B6,50,859,572,0.66589057
102,B6,51,955,299,0.313089005
103,B6,52,1009,326,0.32309217
104,CO,1,20,7,0.35
105,CO,2,23,16,0.695652174
106,CO,3,23,19,0.826086957
107,CO,4,23,14,0.608695652
108,CO,5,23,16,0.695652174
109,CO,6,23,17,0.739130435
110,CO,7,23,6,0.260869565
111,CO,8,25,12,0.48
112,CO,9,25,18,0.72
113,CO,10,25,18,0.72
114,CO,11,25,16,0.64
115,CO,12,25,12,0.48
116,CO,13,25,16,0.64
117,CO,14,25,15,0.6
118,CO,15,25,18,0.72
119,CO,16,25,13,0.52
120,CO,17,25,12,0.48
121,CO,18,25,12,0.48
122,CO,19,25,17,0.68
123,CO,20,25,16,0.64
124,CO,21,23,14,0.608695652
125,CO,22,24,14,0.583333333
126,CO,23,25,17,0.68
127,CO,24,25,15,0.6
128,CO,25,25,10,0.4
129,CO,26,25,6,0.24
130,CO,27,24,10,0.416666667
131,CO,28,25,10,0.4
132,CO,29,25,12,0.48
133,CO,30,25,4,0.16
134,CO,31,25,10,0.4
135,CO,32,25,9,0.36
136,CO,33,25,8,0.32
137,CO,34,25,10,0.4
138,CO,35,24,10,0.416666667
139,CO,36,12,10,0.833333333
140,CO,37,6,3,0.5
141,CO,38,6,6,1
142,CO,39,5,4,0.8
143,DL,1,400,197,0.4925
144,DL,2,288,195,0.677083333
145,DL,3,279,155,0.555555556
146,DL,4,277,195,0.703971119
147,DL,5,286,186,0.65034965
148,DL,6,294,190,0.646258503
149,DL,7,295,135,0.457627119
150,DL,8,304,154,0.506578947
151,DL,9,306,210,0.68627451
152,DL,10,311,158,0.508038585
153,DL,11,312,171,0.548076923
154,DL,12,312,175,0.560897436
155,DL,13,313,193,0.616613419
156,DL,14,308,150,0.487012987
157,DL,15,315,158,0.501587302
158,DL,16,316,169,0.534810127
159,DL,17,316,207,0.655063291
160,DL,18,319,181,0.567398119
161,DL,19,321,192,0.598130841
162,DL,20,321,171,0.53271028
163,DL,21,313,165,0.52715655
164,DL,22,329,210,0.638297872
165,DL,23,329,190,0.577507599
166,DL,24,335,136,0.405970149
167,DL,25,336,148,0.44047619
168,DL,26,335,129,0.385074627
169,DL,27,333,139,0.417417417
170,DL,28,339,138,0.407079646
171,DL,29,339,128,0.377581121
172,DL,30,339,99,0.292035398
173,DL,31,336,98,0.291666667
174,DL,32,330,105,0.318181818
175,DL,33,330,98,0.296969697
176,DL,34,326,170,0.521472393
177,DL,35,323,207,0.640866873
178,DL,36,315,204,0.647619048
179,DL,37,311,191,0.61414791
180,DL,38,311,216,0.694533762
181,DL,39,312,208,0.666666667
182,DL,40,309,216,0.699029126
183,DL,41,307,230,0.749185668
184,DL,42,308,220,0.714285714
185,DL,43,307,214,0.697068404
186,DL,44,306,224,0.732026144
187,DL,45,309,212,0.686084142
188,DL,46,308,210,0.681818182
189,DL,47,307,240,0.781758958
190,DL,48,300,221,0.736666667
191,DL,49,309,219,0.708737864
192,DL,50,307,204,0.664495114
193,DL,51,305,106,0.347540984
194,DL,52,297,133,0.447811448
195,EV,23,7,3,0.428571429
196,EV,24,13,4,0.307692308
197,EV,25,11,5,0.454545455
198,EV,26,13,2,0.153846154
199,EV,27,9,2,0.222222222
200,EV,28,19,3,0.157894737
201,EV,29,19,6,0.315789474
202,EV,30,19,2,0.105263158
203,EV,31,19,6,0.315789474
204,EV,32,19,3,0.157894737
205,EV,33,19,3,0.157894737
206,EV,34,14,5,0.357142857
207,EV,35,11,1,0.090909091
208,EV,36,2,,
209,MQ,1,199,110,0.552763819
210,MQ,2,151,103,0.682119205
211,MQ,3,151,92,0.609271523
212,MQ,4,151,105,0.695364238
213,MQ,5,151,100,0.662251656
214,MQ,6,151,85,0.562913907
215,MQ,7,151,81,0.536423841
216,MQ,8,151,74,0.490066225
217,MQ,9,150,109,0.726666667
218,MQ,10,145,72,0.496551724
